,company,date
0,ADNT,2017-04-28
1,ADNT,2017-07-27
2,ADNT,2017-11-05
3,ADNT,2018-01-29
4,ADNT,2018-05-03
5,ADNT,2018-07-26
6,ADNT,2018-11-09
7,ADNT,2019-02-07
8,ADNT,2019-05-07
9,ADNT,2019-08-06
10,ADNT,2019-11-07
11,ADNT,2020-01-31
12,ADNT,2020-05-05
13,ADNT,2020-08-07
14,ADNT,2020-11-30
15,ADNT,2021-02-05
16,ADNT,2021-05-08
17,ADNT,2021-08-07
18,ADNT,2021-11-10
19,ADNT,2022-02-04
20,ADNT,2022-05-05
21,ADNT,2022-08-05
22,ADNT,2022-11-04
23,ALV,2009-07-21
24,ALV,2011-07-21
25,ALV,2011-10-25
26,ALV,2012-02-01
27,ALV,2012-04-27
28,ALV,2012-07-20
29,ALV,2012-10-23
30,ALV,2013-01-31
31,ALV,2013-04-26
32,ALV,2013-07-19
33,ALV,2013-10-24
34,ALV,2014-01-31
35,ALV,2014-04-25
36,ALV,2014-07-18
37,ALV,2014-10-24
38,ALV,2015-01-29
39,ALV,2015-04-22
40,ALV,2015-07-17
41,ALV,2015-10-23
42,ALV,2016-01-30
43,ALV,2016-04-29
44,ALV,2016-07-22
45,ALV,2016-10-27
46,ALV,2017-02-02
47,ALV,2017-04-28
48,ALV,2017-07-21
49,ALV,2017-10-26
50,ALV,2018-01-30
51,ALV,2018-04-28
52,ALV,2018-07-27
53,ALV,2018-10-26
54,ALV,2019-01-29
55,ALV,2019-04-26
56,ALV,2019-07-19
57,ALV,2019-10-25
58,ALV,2020-01-28
59,ALV,2020-04-24
60,ALV,2021-01-26
61,ALV,2021-04-23
62,ALV,2021-07-16
63,ALV,2021-10-22
64,ALV,2022-01-28
65,ALV,2022-04-22
66,ALV,2022-07-22
67,ALV,2022-10-21
68,APTV,2018-02-01
69,APTV,2018-05-02
70,APTV,2018-07-31
71,APTV,2018-10-31
72,APTV,2019-02-01
73,APTV,2019-05-02
74,APTV,2019-07-31
75,APTV,2019-10-30
76,APTV,2020-01-30
77,APTV,2020-07-30
78,APTV,2021-08-05
79,APTV,2021-11-04
80,APTV,2022-02-03
81,APTV,2022-05-05
82,APTV,2022-08-04
83,APTV,2022-11-03
84,ARVL,2021-05-14
85,ARVL,2021-08-12
86,ARVL,2021-11-09
87,ARVL,2022-03-02
88,ARVL,2022-05-10
89,ARVL,2022-08-11
90,ARVL,2022-11-08
91,AXL,2010-02-05
92,AXL,2012-10-26
93,AXL,2013-02-08
94,AXL,2013-05-03
95,AXL,2013-08-02
96,AXL,2013-11-01
97,AXL,2014-02-07
98,AXL,2014-05-02
99,AXL,2014-08-01
100,AXL,2014-10-31
101,AXL,2015-02-23
102,AXL,2015-05-01
103,AXL,2015-07-31
104,AXL,2015-10-30
105,AXL,2016-02-12
106,AXL,2016-05-06
107,AXL,2016-07-29
108,AXL,2016-11-04
109,AXL,2017-02-10
110,AXL,2017-05-05
111,AXL,2017-07-28
112,AXL,2017-11-03
113,AXL,2018-02-16
114,AXL,2018-05-05
115,AXL,2018-08-03
116,AXL,2018-11-03
117,AXL,2019-02-15
118,AXL,2019-05-03
119,AXL,2019-08-04
120,AXL,2019-11-01
121,AXL,2020-02-14
122,AXL,2020-05-08
123,AXL,2021-02-12
124,AXL,2021-05-07
125,AXL,2021-07-30
126,AXL,2021-11-05
127,AXL,2022-02-11
128,AXL,2022-05-06
129,AXL,2022-08-05
130,AXL,2022-11-04
131,AYRO,2020-08-14
132,AYRO,2021-03-31
133,AYRO,2021-05-13
134,AYRO,2022-03-23
135,AYRO,2022-08-11
136,AYRO,2022-11-03
137,BWA,2007-10-26
138,BWA,2008-02-08
139,BWA,2010-02-11
140,BWA,2011-07-28
141,BWA,2011-10-28
142,BWA,2012-02-14
143,BWA,2012-04-26
144,BWA,2012-07-26
145,BWA,2012-10-31
146,BWA,2013-02-14
147,BWA,2013-04-25
148,BWA,2013-07-25
149,BWA,2013-10-30
150,BWA,2014-02-13
151,BWA,2014-05-01
152,BWA,2014-07-31
153,BWA,2014-10-30
154,BWA,2015-02-12
155,BWA,2015-04-30
156,BWA,2015-07-30
157,BWA,2015-10-29
158,BWA,2016-02-12
159,BWA,2016-04-28
160,BWA,2016-07-30
161,BWA,2016-10-27
162,BWA,2017-02-09
163,BWA,2017-04-28
164,BWA,2017-07-27
165,BWA,2017-10-26
166,BWA,2018-02-08
167,BWA,2018-04-26
168,BWA,2018-07-26
169,BWA,2018-10-25
170,BWA,2019-02-14
171,BWA,2019-04-25
172,BWA,2019-07-25
173,BWA,2019-10-31
174,BWA,2020-02-13
175,BWA,2020-05-06
176,BWA,2021-02-11
177,BWA,2021-05-05
178,BWA,2021-08-04
179,BWA,2021-11-03
180,BWA,2022-02-15
181,BWA,2022-05-04
182,BWA,2022-08-03
183,BWA,2022-10-27
184,CPS,2008-01-24
185,CPS,2014-02-25
186,CPS,2014-08-01
